순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용도,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감율,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진 설계 적용 여부,내진 능력
seq,plot_lc,signgu_cd,lgldong_cd,plot_div_cd,bun,ji,mng_bldstr_regstr,regstr_div_cd,regstr_div_cd_nm,regstr_knd_cd,regstr_knd_cd_nm,rdnmsys,buld_nm,sprar_nm,blck,lot,outoflot_cnt,nadres_rd_cd,nadres_lgldong_cd,nadres_grnd_udgd_cd,nadres_bbno,nadres_buno,dong_nm,main_atach_div_cd,main_atach_div_cd_nm,plot_ar,bld_ar,bdtlrt,totflar,flart_calc_totflar,flart,strct_cd,strct_cd_nm,etc_strct,main_ppos_cd,main_ppos_cd_nm,etc_ppos,rf_cd,rf_cd_nm,etc_rf,gnr_cnt,hshld_cnt,hgt,grnd_fl_cnt,udgd_fl_cnt,rdng_elvtr_cnt,emgnc_usg_elvtr_cnt,atach_bldstr_cnt,atach_bldstr_ar,tot_dong_totflar,insdhous_mchntp_cnt,insdhous_mchntp_ar,outhous_mchntp_cnt,outhous_mchntp_ar,insdhous_indptp_cnt,insdhous_indptp_ar,outhous_indptp_cnt,outhous_indptp_ar,prmsn_dd,bgncst_dd,use_aprv_dd,prmsn_no_yr,prmsn_no_instt_cd,prmsn_no_instt_cd_nm,prmsn_no_div_cd,prmsn_no_div_cd_nm,hoadr,energy_efic_grd,energy_redcn_rt,epi,ecofrnd_bldstr_grd,ecofrnd_bldstr_cert_score,intlgnt_bldstr_grd,intlgnt_bldstr_cert_score,crt_ymd,rserthqk_dsign_aplcn_yn,rserthqk_ablty
8,서울특별시 마포구 서교동 3-5번지,11440,12000,0,3,5,11440-18736,1,일반,2,일반건축물,서울특별시 마포구 월드컵로20길 5,제이디빌딩,,,,1,114404139492,12001,0,5,0,,0,주건축물,394.000000000,195.440000000,49.600000000,921.820000000,921.820000000,233.960000000,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,근린생활시설,90,기타지붕,평지붕,0,0,15.600000000,5,0,1,0,0,0E-9,921.820000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,20060710,20070402,20070904,2006,3130085,건축과,1101,신축허가,0,,0E-9,0,,0,,0,20210805,0,
9,서울특별시 마포구 서교동 5-2번지,11440,12000,0,5,2,11440-18737,1,일반,2,일반건축물,서울특별시 마포구 월드컵로 98,협진빌딩,,,,0,114403113018,12001,0,98,0,,0,주건축물,300.560000000,172.400000000,57.360000000,829.200000000,829.200000000,275.890000000,21,철근콘크리트구조,"철근콘크리트구조, 일반철골구조",4000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,평스라브,0,0,16.200000000,5,0,1,0,0,0E-9,829.200000000,0,0E-9,0,0E-9,4,53.200000000,2,23.000000000,20000428,20020312,20020911,2000,3130085,건축과,1192,비연서(신축허가),0,,0E-9,0,,0,,0,20230323,0,
10,서울특별시 마포구 서교동 5-3번지,11440,12000,0,5,3,11440-100277840,1,일반,2,일반건축물,서울특별시 마포구 월드컵로20길 6,용주빌딩,,,,0,114404139492,12001,0,6,0,,0,주건축물,149.000000000,72.730000000,48.810000000,333.170000000,333.170000000,223.600000000,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,(철근)콘크리트,0,0,16.350000000,5,0,1,0,0,0E-9,333.170000000,0,0E-9,0,0E-9,2,0E-9,0,0E-9,20190423,20210106,20210616,2019,3130160,건축과,1101,신축허가,0,,0E-9,0,,0,,0,20210813,1,Ⅶ-0.2g
1,서울특별시 마포구 당인동 1-10번지,11440,11800,0,1,10,11440-18595,1,일반,2,일반건축물,서울특별시 마포구 토정로4길 55-9,,,,,0,114404139606,11802,0,55,9,,0,주건축물,0E-9,648.000000000,0E-9,652.000000000,652.000000000,0E-9,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,근린공공시설(빗물펌프장),10,(철근)콘크리트,평스라브,0,1,0E-9,2,0,0,0,0,0E-9,652.000000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,19940110,,,,,,0,,0E-9,0,,0,,0,20240829,0,
2,서울특별시 마포구 당인동 1-10번지,11440,11800,0,1,10,11440-1000000000000004256426,1,일반,2,일반건축물,서울특별시 마포구 토정로4길 55-9,당인빗물펌프장,,,,0,114404139606,11802,0,55,9,,0,주건축물,0E-9,162.860000000,0E-9,275.310000000,275.310000000,0E-9,21,철근콘크리트구조,철근콘크리트구조,3000,제1종근린생활시설,근린생활시설,,,,0,0,19.500000000,3,0,0,0,0,0E-9,275.310000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,,,,,,,0,,0E-9,0,,0,,0,20240902,0,
3,서울특별시 마포구 당인동 6-4번지,11440,11800,0,6,4,11440-18596,1,일반,2,일반건축물,,,,,,0,,,0,0,0,,0,주건축물,0E-9,64.140000000,0E-9,64.140000000,64.140000000,0E-9,11,벽돌구조,연와조,1000,단독주택,주택,20,기와,세멘와즙,0,1,0E-9,1,0,0,0,1,3.210000000,64.140000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,19651030,,,,,,0,,0E-9,0,,0,,0,20170209,,
4,서울특별시 마포구 당인동 6-10번지,11440,11800,0,6,10,11440-18597,1,일반,2,일반건축물,,,,,,0,,,0,0,0,,0,주건축물,0E-9,66.380000000,0E-9,66.380000000,66.380000000,0E-9,11,벽돌구조,연와조,1000,단독주택,주택,20,기와,와즙,0,1,0E-9,1,0,0,0,0,0E-9,66.380000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,19641001,,,,,,0,,0E-9,0,,0,,0,20170209,,
5,서울특별시 마포구 당인동 12-1번지,11440,11800,0,12,1,11440-18598,1,일반,2,일반건축물,서울특별시 마포구 어울마당로 26,,,,,0,114403113015,11802,0,26,0,,0,주건축물,656.000000000,327.460000000,49.920000000,1974.100000000,1601.220000000,244.090000000,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,"근린생활시설,판매시설",10,(철근)콘크리트,스라브,0,0,20.200000000,5,1,1,0,0,0E-9,1974.100000000,18,207.000000000,0,0E-9,0,0E-9,4,46.000000000,19910712,19921230,19931214,,,,,,0,,0E-9,0,,0,,0,20200922,0,
6,서울특별시 마포구 당인동 12-3번지,11440,11800,0,12,3,11440-18690,2,집합,3,표제부,서울특별시 마포구 어울마당로2길 4,,,,,0,114404139438,11801,0,4,0,,0,주건축물,0E-9,82.480000000,0E-9,329.920000000,247.440000000,0E-9,21,철근콘크리트구조,철근콘크리트조,2000,공동주택,다세대주택,10,(철근)콘크리트,스라브위기와,8,0,0E-9,3,1,0,0,0,0E-9,329.920000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,19890811,,19900302,,,,,,0,,0E-9,0,,0,,0,20171205,,
7,서울특별시 마포구 당인동 12-10번지,11440,11800,0,12,10,11440-18691,2,집합,3,표제부,서울특별시 마포구 어울마당로 22,,,,,0,114403113015,11802,0,22,0,,0,주건축물,0E-9,82.480000000,0E-9,329.920000000,247.440000000,0E-9,21,철근콘크리트구조,철근콘크리트조,2000,공동주택,다세대주택,20,기와,기와,8,0,0E-9,3,1,0,0,0,0E-9,329.920000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,19890822,,19900302,,,,,,0,,0E-9,0,,0,,0,20171205,,
