대지위치,법정동코드명,대지면적,주용도코드명,기타용도내용,세대수,사용승인일자
서울특별시 마포구 공덕동 479,공덕동,,공동주택,"관리사무소,MDF실,방재실,경비실,경로당,어린이집,작은도서관,피트니스,기계실,전기실,발전기실,감시실,제연휀룸",,2021-11-18
서울특별시 서초구 방배동 930-1,방배동,0.0,공동주택,"지하주차장,전기,펌프실,경비실",0.0,2006-05-30
서울특별시 송파구 장지동 857,장지동,,공동주택,경비실,,2011-01-27
서울특별시 양천구 신월동 1036,신월동,,공동주택,경비실,,2008-06-27
서울특별시 강동구 강일동 699,강일동,,공동주택,경비실,,2009-04-06
서울특별시 양천구 신정동 1314,신정동,,공동주택,경비실,,2010-02-02
서울특별시 성동구 성수동1가 714,성수동1가,0.0,공동주택,경비실,0.0,2003-09-25
서울특별시 양천구 신월동 1057,신월동,,공동주택,"관리실,방재실,경로당,경비실,보육시설,MDF실,지하주차장,기계실,전기실,주민공동시설,문고",,2010-10-14
서울특별시 송파구 장지동 856,장지동,0.0,공동주택,경비실,0.0,2007-08-20
서울특별시 구로구 오류동 31-4,오류동,0.0,공동주택,경비실,0.0,2006-10-02
서울특별시 강동구 암사동 400,암사동,0.0,공동주택,통합경비실,0.0,2004-08-30
서울특별시 성북구 정릉동 239,정릉동,0.0,공동주택,경비실,0.0,2005-12-28
서울특별시 성북구 하월곡동 222,하월곡동,0.0,공동주택,경비실,0.0,2003-04-30
서울특별시 강서구 화곡동 1159,화곡동,106164.2,공동주택,경비실,,2008-01-08
서울특별시 강서구 내발산동 749,내발산동,36518.3,공동주택,경비실,,2008-06-10
서울특별시 성동구 금호동1가 633,금호동1가,0.0,공동주택,공동주택(아파트및경비실),125.0,2001-12-03
서울특별시 성동구 금호동1가 633,금호동1가,0.0,공동주택,공동주택(아파트및경비실),234.0,2001-12-03
서울특별시 동대문구 장안동 575,장안동,0.0,공동주택,"경로당,경비실,감시제어반실,관리사무소,엠디에프실",0.0,2007-05-25
서울특별시 은평구 진관동 83,진관동,,공동주택,경비실,,2009-12-23
서울특별시 양천구 신정동 276,신정동,,공동주택,"아파트, 경비실, 관리노인정, 탁아소",202.0,1995-12-11
서울특별시 서초구 잠원동 50-1,잠원동,0.0,공동주택,경비실,0.0,2004-04-28
서울특별시 중구 신당동 850,신당동,0.0,공동주택,경비실,0.0,2005-12-28
서울특별시 은평구 진관동 2,진관동,,공동주택,경비실,,2008-05-14
서울특별시 서초구 반포동 84-2,반포동,0.0,공동주택,경비실,0.0,2003-02-13
서울특별시 구로구 신도림동 646,신도림동,0.0,공동주택,경비실,0.0,2003-05-27
서울특별시 강서구 염창동 312,염창동,,공동주택,"경비실,재활용품보관소",,2020-12-30
