자치구명,행정동,행정동코드,1인가구비율,사회적_고립도,평일_재택률,휴일_재택률,배달_의존도,이동_취약성_거리,이동_취약성_횟수,휴일_활동성,경제적_취약성,거주_불안정성,게임_이용,금융_이용,쇼핑_이용,배달브랜드_이용,배달식재료_이용,영상_서비스_이용,대중교통_이용,출퇴근_부담,근무_강도,종합_취약도
서초구,잠원동,11650105,23,30,52,21,36,20,41,69,24,56,35,21,0,19,32,1,31,40,37,30.9
성동구,금호1가동,11200108,34,65,77,49,65,59,68,28,28,58,28,39,0,41,44,1,26,27,31,40.4
성동구,금호2·3가동,11200109,29,63,81,55,29,56,67,28,26,56,40,41,1,45,60,1,26,25,41,40.5
성동구,금호4가동,11200110,32,59,76,38,44,41,48,39,39,56,32,40,1,40,41,1,11,18,39,36.6
성동구,마장동,11200103,28,55,72,50,41,67,77,18,27,56,44,61,1,11,43,1,22,20,44,38.8
성동구,사근동,11200104,29,51,82,65,51,61,83,32,34,56,33,37,1,62,64,1,26,42,32,44.3
성동구,성수1가1동,11200112,34,19,70,64,21,16,41,56,24,56,46,34,0,52,48,1,11,6,26,32.9
성동구,성수1가2동,11200113,26,53,76,38,23,59,81,25,22,47,35,41,1,68,62,2,18,0,29,37.2
성동구,성수2가1동,11200114,39,61,75,46,26,65,67,21,31,43,32,59,1,52,52,2,24,9,31,38.7
성동구,성수2가3동,11200115,29,51,69,37,31,44,60,40,16,55,28,36,0,45,53,1,14,72,40,37.9
성동구,송정동,11200116,48,68,64,62,48,75,66,22,55,54,59,59,1,74,47,2,21,12,38,46.1
성동구,옥수동,11200111,24,43,59,43,23,26,42,57,26,55,47,32,0,31,31,1,12,37,47,33.5
성동구,왕십리2동,11200101,29,60,76,60,38,69,64,20,23,71,30,39,1,59,71,1,24,39,35,42.6
성동구,왕십리도선동,11200102,27,53,70,40,58,55,69,28,20,56,56,34,0,24,29,1,29,39,50,38.8
성동구,용답동,11200117,42,66,68,48,61,71,88,15,39,56,33,76,1,46,42,2,25,18,39,44.0
성동구,응봉동,11200107,18,48,71,50,28,43,47,47,24,46,51,60,0,30,49,2,11,26,32,35.9
성동구,행당1동,11200105,35,60,83,59,50,49,74,34,15,56,39,44,0,43,78,1,22,28,32,42.2
성동구,행당2동,11200106,34,70,85,66,33,55,72,35,19,56,48,46,1,16,35,1,26,36,60,41.8
성북구,길음1동,11290112,25,77,77,38,15,58,66,35,10,56,54,43,1,32,40,2,53,34,46,40.1
성북구,길음2동,11290113,35,67,64,35,67,58,67,35,41,58,39,37,1,44,39,1,47,43,38,42.9
성북구,돈암1동,11290104,35,81,81,45,61,59,64,31,20,55,44,50,1,36,51,1,43,17,30,42.4
성북구,돈암2동,11290105,21,57,79,43,41,51,64,41,23,56,50,37,0,47,47,1,57,32,33,41.1
성북구,동선동,11290103,38,56,84,59,59,67,70,20,29,56,33,25,0,56,49,1,48,17,45,42.7
성북구,보문동,11290107,36,64,69,56,71,62,63,28,30,51,35,46,1,65,66,1,48,11,27,43.7
성북구,삼선동,11290102,30,75,83,68,40,75,75,29,34,31,41,48,1,48,38,1,52,7,23,42.1
성북구,석관동,11290120,30,72,74,54,45,59,72,33,22,33,31,55,1,21,31,1,26,26,54,38.9
성북구,성북동,11290101,22,34,59,48,44,25,34,52,34,41,60,40,0,39,63,1,46,32,33,37.2
성북구,안암동,11290106,38,50,60,62,38,67,65,36,32,56,53,63,1,39,72,2,53,31,39,45.1
성북구,월곡1동,11290115,27,82,81,46,69,66,80,28,21,52,30,48,1,20,43,1,52,23,50,43.2
성북구,월곡2동,11290116,28,75,77,46,27,58,69,32,22,53,39,46,1,35,58,2,36,26,48,40.9
성북구,장위1동,11290117,33,75,78,60,74,72,65,27,26,56,27,45,1,41,50,2,47,28,26,43.8
성북구,장위2동,11290118,36,74,88,54,51,74,79,28,31,56,32,60,1,57,69,1,46,42,53,49.1
성북구,장위3동,11290119,22,62,66,22,47,59,61,35,25,56,44,44,1,51,60,1,43,42,36,40.9
성북구,정릉1동,11290108,26,72,83,44,38,70,74,24,23,56,31,39,1,53,42,1,55,40,40,42.7
성북구,정릉2동,11290109,21,64,80,49,38,58,58,33,23,52,33,44,0,26,53,1,49,19,49,39.5
성북구,정릉3동,11290110,26,52,88,62,27,73,71,32,19,47,24,47,1,52,55,2,66,27,34,42.4
성북구,정릉4동,11290111,28,57,77,56,46,63,55,40,29,54,48,49,1,23,32,1,46,23,31,39.9
성북구,종암동,11290114,31,72,84,57,35,74,81,22,20,17,47,68,1,25,39,2,62,20,36,41.7
송파구,가락1동,11710115,18,14,40,18,32,19,27,62,19,56,49,33,0,25,34,1,22,73,100,33.8
송파구,가락2동,11710116,18,44,69,42,42,34,53,58,25,53,49,24,0,11,26,1,39,26,46,34.7
송파구,가락본동,11710114,23,36,69,37,75,29,53,55,31,56,41,32,0,13,39,1,35,30,43,36.7
송파구,거여1동,11710103,32,78,75,40,21,57,75,40,26,56,35,49,1,53,76,1,47,28,45,43.9
송파구,거여2동,11710104,41,67,74,39,29,41,61,44,24,57,30,34,0,30,40,1,36,30,27,37.1
송파구,마천1동,11710105,39,62,72,55,51,51,50,39,40,53,26,45,1,36,52,1,34,28,38,40.7
송파구,마천2동,11710106,36,81,83,47,36,83,78,26,29,56,28,45,1,35,52,1,49,24,47,44.1
송파구,문정1동,11710117,13,46,74,55,23,27,53,62,21,54,56,44,1,27,59,1,37,22,34,37.3
송파구,문정2동,11710118,6,40,62,44,33,12,43,75,16,55,52,29,0,15,50,1,22,31,46,33.3
송파구,방이1동,11710107,13,40,75,54,17,29,47,62,18,56,58,40,0,39,42,1,36,17,33,35.6
송파구,방이2동,11710108,26,31,75,53,68,30,41,47,48,54,10,21,0,14,43,1,28,18,48,34.5
송파구,삼전동,11710113,26,34,70,67,78,41,50,34,48,44,45,25,0,20,33,1,36,21,44,37.7
송파구,석촌동,11710112,36,33,78,67,76,37,59,41,43,41,38,29,0,8,36,1,39,20,44,38.2
송파구,송파1동,11710110,25,28,75,61,34,29,51,52,40,49,19,29,0,20,47,1,34,39,62,36.6
